"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"High trophic species: sea based coastal (pens)","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Abrasion","Benthic Habitat (& assoc. biota)","S","P","C",NA,"A&E to look closer at NEA (any around 8 months per year)",0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Abrasion","Pelagic Habitats (& assoc. biota)",NA,NA,NA,NA,"DELETE ROW",0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Marine Mammals","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Fish","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Reptiles","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Seabirds","S","P","L",NA,"Suggestion to delete from previous sheet",0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Noise","Cephalopods","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Marine Mammals","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Fish","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Reptiles","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Seabirds","S","P","L",NA,"Suggestion to delete from previous sheet",0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Noise","Cephalopods","S","P","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Benthic Habitat (& assoc. biota)","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Marine Mammals","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Fish","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Reptiles","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Seabirds","S","C","L",NA,"Suggestion to delete from previous sheet",0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Noise","Cephalopods","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Benthic Habitat (& assoc. biota)","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Marine Mammals","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Fish","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Reptiles","S","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Seabirds","S","C","L",NA,"Suggestion to delete from previous sheet",0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Noise","Cephalopods","S","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Noise","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Noise","Marine Mammals","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Noise","Fish","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Noise","Reptiles","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Noise","Seabirds","S","P","L",NA,"Suggestion to delete from previous sheet",0,0,0,0,NA
"Polyculture sea based coastal","Noise","Cephalopods","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Benthic Habitat (& assoc. biota)","NO","NO","NO",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Marine Mammals","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Fish","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Reptiles","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Seabirds","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Noise","Cephalopods","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Marine Mammals","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Fish","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Reptiles","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Seabirds","S","P","L",NA,NA,0,0,0,0,NA
"Algae sea based","Noise","Cephalopods","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Seabirds","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Seabirds","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Benthic Habitat (& assoc. biota)","E","R","L",NA,"No direct spatial overlap between a sector/pressure and ecosystem characteristic",0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Pelagic Habitats (& assoc. biota)","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Marine Mammals","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Fish","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Reptiles","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Seabirds","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Cephalopods","E","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Marine Litter","Food Web (D4)","E","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Reptiles","WP","C","A",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Seabirds","WP","C","A",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C",NA,NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Marine Mammals","WP","C","NO",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Reptiles","WP","C","L/NO",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Seabirds","WP","C","L/NO",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Reptiles","WP","C","A",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Seabirds","WP","C","A",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Reptiles","WP","C","A",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Seabirds","WP","C","A",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
