"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"Small vessels - active demersal","Siltation/Smothering","Benthic Habitat (& assoc. biota): VMEs","S","R","C",1,NA,0.03,0.08,0.2,0.00048,0.00442136329052594
"Small vessels - active demersal","Siltation/Smothering","Benthic Habitat (& assoc. biota): non-VMEs","WP","C","C",2,NA,0.67,0.67,0.2,0.08978,0.826979158798791
"Small vessels - active demersal","Siltation/Smothering","Fish","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Siltation/Smothering","Elasmobranchs","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Siltation/Smothering","Cephalopods","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Siltation/Smothering","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Siltation/Smothering","Benthic Habitat (& assoc. biota): VMEs","S","R","C",1,NA,0.03,0.08,0.2,0.00048,0.00442136329052594
"Large vessels - active demersal","Siltation/Smothering","Benthic Habitat (& assoc. biota): non-VMEs","WP","C","C",2,NA,0.67,0.67,0.2,0.08978,0.826979158798791
"Large vessels - active demersal","Siltation/Smothering","Fish","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Siltation/Smothering","Elasmobranchs","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Siltation/Smothering","Cephalopods","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Siltation/Smothering","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Abrasion","Benthic Habitat (& assoc. biota): VMEs","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","S","R","A",2,NA,0.03,0.08,1,0.0024,0.0221068164526297
"passive pelagic","Abrasion","Fish","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Abrasion","Elasmobranchs","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Abrasion","Cephalopods","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","R","A",1,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,0.08,1,0.0024,0.0221068164526297
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","C","C",2,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"passive demersal","Abrasion","Fish","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"passive demersal","Abrasion","Elasmobranchs","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"passive demersal","Abrasion","Cephalopods","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"passive demersal","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): VMEs","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","S","R","A",2,NA,0.03,0.08,1,0.0024,0.0221068164526297
"Small vessels - pelagic trawlers","Abrasion","Fish","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - pelagic trawlers","Abrasion","Elasmobranchs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - pelagic trawlers","Abrasion","Cephalopods","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - pelagic trawlers","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","R","A",1,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,0.08,1,0.0024,0.0221068164526297
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","C","C",2,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"Small vessels - active demersal","Abrasion","Fish","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"Small vessels - active demersal","Abrasion","Elasmobranchs","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"Small vessels - active demersal","Abrasion","Cephalopods","L","C","C",1,NA,0.33,0.67,0.2,0.04422,0.407318093139703
"Small vessels - active demersal","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): VMEs","NO",NA,NA,1,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0,0,0,0,0
"Large vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","S","R","C",2,NA,0.03,0.08,0.2,0.00048,0.00442136329052594
"Large vessels - pelagic trawlers","Abrasion","Fish","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Large vessels - pelagic trawlers","Abrasion","Elasmobranchs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Large vessels - pelagic trawlers","Abrasion","Cephalopods","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Large vessels - pelagic trawlers","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","R","A",1,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,0.08,1,0.0024,0.0221068164526297
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","WP","P","A",2,NA,0.67,1,1,0.67,6.17148625969247
"Large vessels - active demersal","Abrasion","Fish","WP","P","C",1,NA,0.67,1,0.2,0.134,1.23429725193849
"Large vessels - active demersal","Abrasion","Elasmobranchs","WP","P","C",1,NA,0.67,1,0.2,0.134,1.23429725193849
