"Sector","Pressure","Ecological.Characteristic","Overlap","Frequency","DoI","ImpactRisk"
"High trophic species: sea based coastal (pens)","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Low trophic species: sea based long lines, raft","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Low trophic species: Sea-based on bottom","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Algae sea based","Substrate Loss","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","C",0.006
"High trophic species: sea based offshore (pens)","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Low trophic species: sea based long lines, raft","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Algae sea based","Siltation/ Smothering","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Low trophic species: Sea-based on bottom","Abrasion","Benthic Habitat (& assoc. biota)","S","C","C",0.00402
"High trophic species: sea based coastal (pens)","Noise","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Noise","Marine Mammals","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Noise","Fish","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Noise","Reptiles","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Noise","Seabirds","S","P","L",0.0015
"High trophic species: sea based coastal (pens)","Noise","Cephalopods","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Noise","Marine Mammals","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Noise","Fish","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Noise","Reptiles","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Noise","Seabirds","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Noise","Cephalopods","S","P","L",0.0015
"Low trophic species: sea based long lines, raft","Noise","Benthic Habitat (& assoc. biota)","S","C","L",0.001005
"Low trophic species: sea based long lines, raft","Noise","Marine Mammals","S","C","L",0.001005
"Low trophic species: sea based long lines, raft","Noise","Fish","S","C","L",0.001005
"Low trophic species: sea based long lines, raft","Noise","Reptiles","S","C","L",0.001005
"Low trophic species: sea based long lines, raft","Noise","Seabirds","S","C","L",0.001005
"Low trophic species: sea based long lines, raft","Noise","Cephalopods","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Benthic Habitat (& assoc. biota)","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Marine Mammals","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Fish","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Reptiles","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Seabirds","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Noise","Cephalopods","S","C","L",0.001005
"Algae sea based","Noise","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"Algae sea based","Noise","Marine Mammals","S","P","L",0.0015
"Algae sea based","Noise","Fish","S","P","L",0.0015
"Algae sea based","Noise","Reptiles","S","P","L",0.0015
"Algae sea based","Noise","Seabirds","S","P","L",0.0015
"Algae sea based","Noise","Cephalopods","S","P","L",0.0015
"Low trophic species: sea based long lines, raft","Marine Litter","Benthic Habitat (& assoc. biota)","L","O","L",0.005445
"Low trophic species: sea based long lines, raft","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",0.005445
"Low trophic species: sea based long lines, raft","Marine Litter","Marine Mammals","L","O","L",0.005445
"Low trophic species: sea based long lines, raft","Marine Litter","Fish","L","O","L",0.005445
"Low trophic species: sea based long lines, raft","Marine Litter","Reptiles","L","O","A",0.1089
"Low trophic species: sea based long lines, raft","Marine Litter","Seabirds","L","O","A",0.1089
"Low trophic species: sea based long lines, raft","Marine Litter","Cephalopods","L","O","L",0.005445
"Low trophic species: Sea-based on bottom","Marine Litter","Fish","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Marine Litter","Reptiles","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Marine Litter","Seabirds","S","C","L",0.001005
"Low trophic species: Sea-based on bottom","Marine Litter","Cephalopods","S","C","L",0.001005
"High trophic species: sea based coastal (pens)","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","L","O","L",0.005445
"High trophic species: sea based coastal (pens)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","C",0.006
"High trophic species: sea based coastal (pens)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","S","P","C",0.006
"High trophic species: sea based offshore (pens)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","L",0.0015
"High trophic species: sea based offshore (pens)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","S","P","L",0.0015
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","E","P","C",0.002
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","E","P","C",0.002
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Fish","E","P","C",0.002
"Low trophic species: sea based long lines, raft","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",0.01072
"Low trophic species: sea based long lines, raft","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",0.01072
"Low trophic species: Sea-based on bottom","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",0.01072
"Low trophic species: Sea-based on bottom","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",0.01072
"Algae sea based","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",0.01072
"Algae sea based","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",0.01072
"Algae sea based","Invasive species","Fish","L","R","L",0.00132
"High trophic species: sea based coastal (pens)","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","C",0.08978
"High trophic species: sea based coastal (pens)","Living Resources Extraction","Fish","WP","C","C",0.08978
"High trophic species: sea based coastal (pens)","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"High trophic species: sea based offshore (pens)","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","C",0.08978
"High trophic species: sea based offshore (pens)","Living Resources Extraction","Fish","WP","C","C",0.08978
"High trophic species: sea based offshore (pens)","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"High trophic species: land-based open flow through (tanks)","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","C",0.08978
"High trophic species: land-based open flow through (tanks)","Living Resources Extraction","Fish","WP","C","C",0.08978
"High trophic species: land-based open flow through (tanks)","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
