"Sector","Pressure","Ecological.Characteristic","Overlap","Frequency","DoI","ImpactRisk"
"Small vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): VMEs","S","P","A",0.03
"Small vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): non-VMEs","L","P","C",0.066
"Small vessels - active demersal","Siltation/ Smothering","Fish","L","P","L",0.0165
"Small vessels - active demersal","Siltation/ Smothering","Elasmobranchs","L","P","L",0.0165
"Small vessels - active demersal","Siltation/ Smothering","Cephalopods","L","P","L",0.0165
"Small vessels - active demersal","Siltation/ Smothering","Food Web (D4)","L","P","C",0.066
"Large vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): VMEs","S","P","A",0.03
"Large vessels - active demersal","Siltation/ Smothering","Benthic Habitat (& assoc. biota): non-VMEs","WP","P","C",0.134
"Large vessels - active demersal","Siltation/ Smothering","Fish","WP","P","L",0.0335
"Large vessels - active demersal","Siltation/ Smothering","Elasmobranchs","WP","P","L",0.0335
"Large vessels - active demersal","Siltation/ Smothering","Cephalopods","WP","P","L",0.0335
"Large vessels - active demersal","Siltation/ Smothering","Food Web (D4)","WP","P","C",0.134
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",0.03
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","P","L",0.0165
"passive demersal","Abrasion","Fish","L","P","L",0.0165
"passive demersal","Abrasion","Elasmobranchs","L","P","L",0.0165
"passive demersal","Abrasion","Cephalopods","L","P","L",0.0165
"passive demersal","Abrasion","Food Web (D4)","L","P","L",0.0165
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",0.03
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","P","C",0.066
"Small vessels - active demersal","Abrasion","Fish","L","P","L",0.0165
"Small vessels - active demersal","Abrasion","Elasmobranchs","L","P","L",0.0165
"Small vessels - active demersal","Abrasion","Cephalopods","L","P","L",0.0165
"Small vessels - active demersal","Abrasion","Food Web (D4)","L","P","C",0.066
"Large vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","R","A",0.0024
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",0.03
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","WP","P","C",0.134
"Large vessels - active demersal","Abrasion","Fish","WP","P","C",0.134
"Large vessels - active demersal","Abrasion","Elasmobranchs","WP","P","L",0.0335
"Large vessels - active demersal","Abrasion","Cephalopods","WP","P","L",0.0335
"Large vessels - active demersal","Abrasion","Food Web (D4)","WP","P","C",0.134
"Small vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Marine Mammals","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Fish","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Elasmobranchs","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Reptiles","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Seabirds","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Cephalopods","L","C","L",0.011055
"Small vessels - pelagic trawlers","Noise","Food Web (D4)","L","C","L",0.011055
"Small vessels - active demersal","Noise","Pelagic Habitats (& assoc. biota)","L","P","L",0.0165
"Small vessels - active demersal","Noise","Marine Mammals","L","P","L",0.0165
"Small vessels - active demersal","Noise","Fish","L","P","L",0.0165
"Small vessels - active demersal","Noise","Elasmobranchs","L","P","L",0.0165
"Small vessels - active demersal","Noise","Reptiles","L","P","L",0.0165
"Small vessels - active demersal","Noise","Seabirds","L","P","L",0.0165
"Small vessels - active demersal","Noise","Cephalopods","L","P","L",0.0165
"Small vessels - active demersal","Noise","Food Web (D4)","L","P","L",0.0165
"Large vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","L","P","L",0.0165
"Large vessels - pelagic trawlers","Noise","Marine Mammals","L","P","L",0.0165
"Large vessels - pelagic trawlers","Noise","Fish","L","P","L",0.0165
"Large vessels - pelagic trawlers","Noise","Elasmobranchs","L","P","L",0.0165
"Large vessels - pelagic trawlers","Noise","Reptiles","L","P","L",0.0165
